HOLD,HEIGHT,WIDTH,TALL,WEIGHT,AMOUNT,LP,DP
1,460,193,169,1598,125,5,11
1,460,193,169,1598,24,5,11
1,454,176,147,1370,1,5,11
1,453,175,143,1270,1,5,11
1,451,174,147,1390,1,5,11
1,448,174,149,1350,1,5,11

2,433,184,161,1249,181,5,11
2,390,169,152,1130,1,5,11
2,390,169,152,1130,1,5,11
2,524,195,147,2240,1,6,4
2,515,200,192,2510,1,6,4
2,515,200,192,2510,3,6,4
2,460,192,170,1550,4,6,5
2,460,192,170,1520,1,6,5

3,433,184,161,1249,92,5,11
3,433,184,161,1249,28,5,11
3,432,178,146,1320,1,5,11
3,430,176,145,1380,1,5,11
3,430,176,145,1380,1,5,11
3,429,177,160,1280,1,5,11
3,427,180,147,1390,1,5,11
3,426,180,146,1320,1,5,11
3,426,180,148,1240,1,5,11
3,424,175,140,1390,1,5,11
3,424,175,140,1390,1,5,11
3,421,179,148,1270,1,5,11
3,409,175,144,1190,1,5,11
3,408,174,139,1160,1,5,11
3,403,174,126,2000,1,5,11
3,399,168,147,1100,1,5,11
3,399,168,147,1100,1,5,11
3,395,169,152,1140,1,5,11
3,395,169,152,1130,1,5,11
3,395,169,152,1130,1,5,11
3,395,169,152,1140,1,5,11
3,395,169,152,1130,1,5,11
3,395,169,152,1140,1,5,11
3,390,169,152,1140,1,5,11
3,538,198,229,2030,5,6,5
3,460,192,170,1550,3,6,5

4,448,174,149,1350,1,5,11
4,448,174,149,1310,1,5,11
4,448,174,149,1350,1,5,11
4,448,174,149,1350,1,5,11
4,448,174,149,1350,1,5,11
4,448,174,149,1350,1,5,11
4,448,174,149,1350,1,5,11
4,448,174,149,1350,1,5,11
4,448,174,149,1350,1,5,11
4,448,174,149,1310,1,5,11
4,448,174,149,1350,1,5,11
4,448,174,149,1350,1,5,11
4,448,174,149,1350,1,5,11
4,448,174,149,1350,1,5,11
4,448,174,149,1350,1,5,11
4,448,174,149,1350,1,5,11
4,448,174,149,1350,1,5,11
4,448,174,149,1310,1,5,11
4,448,174,149,1350,1,5,11
4,448,174,149,1360,1,5,11
4,448,174,149,1350,1,5,11
4,448,174,149,1350,1,5,11
4,448,174,149,1350,1,5,11
4,448,174,149,1350,1,5,11
4,448,174,149,1350,1,5,11
4,448,174,149,1350,1,5,11
4,448,174,149,1350,1,5,11
4,448,174,149,1310,1,5,11
4,448,174,149,1310,1,5,11
4,448,174,149,1350,1,5,11
4,448,174,149,1350,1,5,11
4,448,174,149,1350,1,5,11
4,448,174,149,1350,1,5,11
4,448,174,149,1350,1,5,11
4,448,174,149,1310,1,5,11
4,448,174,149,1310,1,5,11
4,448,174,149,1310,1,5,11
4,448,174,149,1310,1,5,11
4,448,174,149,1310,1,5,11
4,448,174,149,1350,1,5,11
4,448,174,149,1350,1,5,11
4,448,174,149,1350,1,5,11
4,446,174,149,1300,1,5,11
4,443,169,198,1780,1,5,11
4,441,169,154,1190,1,5,11
4,440,179,167,1580,1,5,11
4,439,169,142,1190,1,5,11
4,439,169,142,1190,1,5,11
4,439,169,142,1190,1,5,11
4,437,175,138,1630,1,5,11
4,433,184,161,1249,9,5,11
4,433,184,161,1249,86,5,11
