HOLD,HEIGHT,WIDTH,TALL,WEIGHT,AMOUNT,LP,DP
1,592,210,228,2520,11,1,7
1,592,210,228,2510,2,1,7
1,502,202,195,2450,48,1,7
1,502,202,191,2550,20,1,7
1,501,193,186,2090,32,1,7

2,538,198,229,1830,12,1,2
2,501,193,186,2090,103,1,7
2,501,193,191,2090,3,1,7
2,501,202,188,2560,13,1,7
2,499,202,188,2560,3,1,7

3,592,210,228,2580,3,1,2
3,592,210,228,2620,4,1,2
3,592,210,228,2520,2,1,2
3,592,210,228,2560,2,1,2
3,592,210,228,2540,1,1,2
3,538,198,229,1830,3,1,2
3,592,210,228,2280,3,1,5
3,592,210,228,2520,5,1,5
3,592,210,228,2510,4,1,5
3,592,210,228,2620,6,1,6
3,498,202,191,2550,27,1,7
3,488,192,185,2370,9,1,7
3,480,188,196,2100,2,1,7
3,470,178,198,1660,3,1,7
3,467,192,184,1960,26,1,7
3,414,188,194,1880,1,1,7

4,499,202,188,2560,7,1,7
4,498,202,191,2550,110,1,7
