HOLD,HEIGHT,WIDTH,TALL,WEIGHT,AMOUNT,LP,DP
1,370,170,161,885,30,3,10
1,370,170,161,885,6,3,10
1,348,165,172,1110,11,3,10
1,384,173,149,920,17,3,10
1,370,170,161,885,36,3,10
1,348,165,172,1110,10,3,10
1,390,169,152,1130,1,5,11
1,390,169,152,1140,1,5,11
1,390,169,152,1140,1,5,11
1,390,169,152,1020,1,5,11
1,390,169,152,1140,1,5,11
1,390,169,152,1010,1,5,11
1,390,169,152,1140,1,5,11
1,388,169,150,970,1,5,11
1,382,166,151,950,1,5,11
1,378,169,152,980,1,5,11
1,372,166,152,950,1,5,11
1,372,166,152,950,1,5,11
1,354,165,149,920,1,5,11
1,446,174,142,1460,1,5,11
1,498,190,145,1680,2,6,7
1,489,187,146,1590,6,6,7
1,484,193,191,2140,2,6,7
1,484,192,190,2130,4,6,7
1,465,182,147,1530,1,6,7
1,464,187,165,1780,2,6,7
1,464,187,166,1780,1,6,7
1,460,192,170,1590,8,6,7
1,460,192,170,1650,10,6,7
1,500,192,170,2200,1,6,8
1,498,190,145,1680,1,6,8
1,484,193,186,2140,3,6,8
1,464,187,166,1780,1,6,8
1,460,192,170,1610,2,6,8
1,460,192,170,1590,6,6,8
1,460,192,170,1660,2,6,8
1,460,192,170,1640,5,6,8
1,460,192,170,1460,1,6,8
1,450,186,154,1540,5,6,8

2,370,170,161,885,34,3,10
2,348,165,172,1110,11,3,10
2,370,170,161,885,36,3,10
2,498,190,145,1680,4,6,6
2,489,187,146,1590,9,6,6
2,489,192,170,2100,1,6,6
2,489,192,170,2100,1,6,6
2,464,187,166,1780,4,6,6
2,460,192,170,1590,4,6,6
2,460,192,170,1650,13,6,6
2,460,192,170,1660,26,6,6
2,460,192,170,1570,7,6,6
2,460,192,170,1560,4,6,6
2,460,192,170,1650,4,6,6
2,460,192,170,1560,3,6,6
2,460,192,170,1650,1,6,7
2,460,192,170,1660,6,6,7
2,460,192,172,1570,9,6,7
2,460,192,170,1560,1,6,7
2,460,192,170,1600,1,6,7
2,458,182,150,1370,1,6,7
2,450,186,156,1600,2,6,7

3,440,190,168,1520,11,2,10
3,384,173,149,920,74,3,10
3,384,173,149,920,49,3,10
3,384,173,149,920,6,3,10
3,348,165,172,1110,8,3,10
3,348,165,172,1110,4,3,10
3,502,202,198,2620,8,6,5
3,496,202,198,2580,3,6,5
3,460,192,170,1560,10,6,6
3,458,182,150,1370,1,6,6

4,440,190,168,1520,132,2,10
