HOLD,HEIGHT,WIDTH,TALL,WEIGHT,AMOUNT,LP,DP
1,460,192,170,1660,53,1,4
1,460,192,170,1640,86,1,4
1,458,182,150,1370,9,1,4
1,458,182,150,1440,1,1,4
1,450,186,154,1540,7,1,4

2,498,190,145,1680,6,1,2
2,489,192,170,2100,7,1,2
2,484,193,184,2130,2,1,2
2,477,196,135,1980,1,1,2
2,470,185,140,1730,1,1,2
2,465,181,158,1500,10,1,2
2,465,181,161,1500,2,1,2
2,465,182,147,1530,1,1,2
2,464,187,165,1780,29,1,2
2,464,187,166,1780,4,1,2
2,450,186,154,1540,98,1,5
2,450,186,154,1600,3,1,5
2,440,192,188,1990,2,1,5
2,435,179,146,1410,11,1,5
2,424,178,132,1240,2,1,5
2,424,178,132,1260,1,1,5

3,464,187,166,1780,45,1,2
3,460,192,170,1600,8,1,2
3,460,192,170,1590,77,1,2

4,460,192,170,1590,17,1,2
4,515,200,192,2510,2,1,13
4,506,200,192,2510,1,1,13
4,501,202,193,2510,1,1,13
4,499,202,193,2510,8,1,13
4,499,202,191,2510,2,1,13
4,496,202,196,2510,1,1,13
4,496,202,197,2510,7,1,13
4,496,202,198,2510,3,1,13
4,484,193,189,2150,2,1,13
4,484,193,191,2150,16,1,13
4,484,193,189,2070,2,1,13
4,484,193,191,2070,27,1,13
4,484,193,191,2040,1,1,13
4,484,193,191,2030,8,1,13
4,484,193,191,2130,2,1,14
4,484,193,189,2130,11,1,14
4,484,193,191,2130,6,1,14
4,484,193,189,2130,1,1,14
4,484,193,189,2130,1,1,14
