HOLD,HEIGHT,WIDTH,TALL,WEIGHT,AMOUNT,LP,DP
1,538,198,229,1830,25,3,4
1,517,180,210,2260,1,3,4
1,515,180,210,2110,6,3,4
1,488,192,183,2370,8,3,4
1,488,192,185,2370,6,3,4
1,484,193,186,2010,26,3,4
1,480,180,198,2220,1,3,4
1,470,178,198,1660,9,3,4
1,467,192,184,1960,33,3,4

2,496,202,194,2630,1,3,3
2,484,193,186,2030,7,3,3
2,484,193,186,2150,4,3,3
2,484,193,186,2070,4,3,3
2,476,180,198,2190,2,3,3
2,470,178,198,1790,1,3,3
2,592,210,228,2280,19,3,4
2,592,210,228,2520,5,3,4
2,538,198,229,1830,2,3,4

3,496,202,191,2450,13,3,2
3,496,202,191,2590,4,3,2
3,496,202,191,2550,12,3,2
3,496,202,191,2610,15,3,2
3,488,192,183,2370,12,3,2
3,488,192,185,2370,3,3,2
3,485,193,186,2090,13,3,2
3,484,193,186,2150,2,3,2
3,484,193,186,2010,1,3,2
3,481,188,196,2220,1,3,2
3,480,178,198,2100,5,3,2
3,470,178,198,1660,12,3,2
3,467,192,184,1960,2,3,2
3,460,192,170,1600,2,3,2
3,460,192,170,1720,1,3,2
3,418,188,194,1880,1,3,2
3,524,180,197,2140,1,3,3
3,496,202,194,2630,2,3,3

4,592,210,228,2580,1,3,2
4,592,210,228,2620,2,3,2
4,592,210,228,2610,1,3,2
4,592,210,228,2520,9,3,2
4,592,210,228,2560,3,3,2
4,592,210,228,2540,1,3,2
4,538,198,229,1830,7,3,2
4,517,180,210,2260,3,3,2
4,516,200,188,2680,18,3,2
4,515,180,210,2110,7,3,2
4,507,200,188,2680,2,3,2
4,502,193,186,2090,1,3,2
4,502,193,191,2090,2,3,2
4,502,202,191,2590,1,3,2
4,501,193,186,2150,1,3,2
4,501,202,188,2560,2,3,2
4,498,193,186,2150,3,3,2
4,496,202,191,2400,17,3,2
4,496,202,191,2450,27,3,2
