HOLD,HEIGHT,WIDTH,TALL,WEIGHT,AMOUNT,LP,DP
1,524,195,149,2110,1,1,2
1,500,192,171,2080,1,1,2
1,498,190,145,1600,3,1,2
1,498,190,145,1680,3,1,2
1,498,190,145,1650,15,1,2
1,489,187,146,1480,2,1,2
1,524,195,149,2030,1,1,5
1,524,195,149,2110,1,1,5
1,498,190,145,1600,2,1,5
1,498,190,145,1680,1,1,5
1,498,190,145,1650,2,1,5
1,489,187,146,1480,5,1,5
1,489,187,146,1520,3,1,5
1,489,187,146,1580,4,1,5
1,489,192,170,1910,1,1,5
1,489,192,170,1990,6,1,5
1,489,187,146,1620,5,1,5
1,464,187,163,1750,2,1,5
1,461,192,172,1640,2,1,5
1,460,192,170,1540,5,1,5
1,460,192,170,1600,5,1,5
1,450,186,152,1480,1,1,5
1,524,195,149,2030,1,1,6
1,498,190,145,1650,3,1,6
1,491,187,146,1540,1,1,6
1,489,187,146,1480,2,1,6
1,489,187,146,1520,2,1,6
1,489,187,146,1580,2,1,6
1,489,192,170,1910,6,1,6
1,489,192,170,1990,2,1,6
1,468,182,144,1630,1,1,6
1,464,187,163,1700,2,1,6
1,461,192,170,1640,1,1,6
1,460,192,170,1540,4,1,6
1,460,192,170,1540,3,1,6
1,460,192,170,1700,4,1,6
1,460,192,170,1540,14,1,7
1,460,192,172,1640,11,1,7
1,450,186,152,1480,5,1,7
1,424,178,132,1260,1,1,7

2,489,187,146,1480,4,1,2
2,489,187,146,1520,2,1,2
2,489,187,146,1580,6,1,2
2,489,192,170,1990,10,1,2
2,489,187,146,1620,2,1,2
2,489,192,170,2120,1,1,2
2,488,185,146,1650,1,1,2
2,468,182,144,1640,1,1,2
2,464,187,163,1750,1,1,2
2,464,187,164,1750,2,1,2
2,461,192,172,1640,1,1,2
2,460,192,172,1640,19,1,2
2,460,192,170,1600,7,1,2
2,460,192,170,1720,3,1,2
2,450,186,152,1480,2,1,2
2,464,187,164,1750,2,1,7
2,461,192,172,1640,20,1,7
2,460,192,170,1540,37,1,7
2,460,192,170,1540,8,1,7
2,384,173,149,920,4,2,2
2,348,165,172,1110,1,2,2
2,498,190,145,1600,3,3,2
2,498,190,145,1650,11,3,2
2,491,187,146,1630,4,3,2
2,489,187,146,1480,3,3,2
2,489,187,146,1520,2,3,2
2,489,187,146,1580,4,3,2
2,489,192,170,1990,1,3,2
2,489,187,146,1620,5,3,2
2,488,185,146,1650,2,3,2
2,468,182,144,1640,1,3,2
2,461,192,172,1640,1,3,2
2,460,192,170,1600,1,3,2

3,489,187,146,1480,16,1,7
3,489,187,146,1520,50,1,7
3,489,192,170,1910,22,1,7
3,489,192,170,1990,8,1,7
3,489,187,146,1620,16,1,7
3,488,185,146,1660,1,1,7
3,468,182,144,1630,2,1,7
3,468,182,144,1640,1,1,7
3,464,187,164,1700,29,1,7

4,524,195,149,2030,1,1,7
4,524,195,149,2110,3,1,7
4,498,190,145,1600,52,1,7
4,498,190,145,1680,4,1,7
4,498,190,145,1650,27,1,7
4,491,187,146,1540,4,1,7
4,489,187,146,1480,35,1,7
