HOLD,HEIGHT,WIDTH,TALL,WEIGHT,AMOUNT,LP,DP
1,460,192,170,1650,6,1,8
1,460,192,170,1640,26,1,8
1,458,182,150,1370,1,1,8

2,498,190,145,1680,7,1,7
2,489,187,146,1590,6,1,7
2,489,192,170,2100,1,1,7
2,489,187,146,1590,1,1,7
2,489,192,170,1960,2,1,7
2,489,192,170,2100,8,1,7
2,489,187,146,1590,12,1,7
2,484,193,184,2130,1,1,7
2,484,193,186,2130,1,1,7
2,484,193,186,2130,1,1,7
2,484,193,184,2130,1,1,7
2,484,193,186,2130,11,1,7
2,470,185,140,1730,2,1,7
2,470,185,140,1730,1,1,7
2,468,182,144,1620,8,1,7
2,465,181,161,1500,3,1,7
2,465,181,158,1500,22,1,7
2,465,181,161,1500,4,1,7
2,465,182,147,1530,2,1,7
2,464,187,165,1780,2,1,7
2,464,187,166,1780,2,1,7
2,464,187,166,1720,3,1,7
2,464,187,165,1780,11,1,7
2,460,192,170,1640,8,1,8
2,458,182,150,1370,3,1,8
2,457,193,186,1980,1,1,8
2,457,193,186,1990,1,1,8
2,450,186,154,1540,17,1,8
2,450,186,156,1600,20,1,8
2,435,179,146,1410,4,1,8
2,435,179,146,1370,1,1,8

3,464,187,165,1780,2,1,7
3,460,192,170,1600,11,1,7
3,460,192,170,1590,22,1,7
3,460,192,170,1650,9,1,7
3,460,192,170,1640,2,1,7
3,460,192,172,1500,1,1,7
3,460,192,170,1480,7,1,7
3,460,192,170,1590,6,1,7
3,460,192,170,1590,2,1,7
3,460,192,170,1650,5,1,7
3,460,192,170,1640,10,1,7
3,460,192,170,1590,35,1,7
