HOLD,HEIGHT,WIDTH,TALL,WEIGHT,AMOUNT,LP,DP
1,528,188,195,2080,6,1,5
1,527,202,191,2550,1,1,5
1,527,202,191,2610,2,1,5
1,516,200,188,2680,2,1,5
			
1,528,180,198,2280,1,1,6
1,528,188,196,2280,1,1,6
1,525,180,198,2280,1,1,6
1,525,180,197,2150,31,1,6
1,524,180,198,2280,1,1,6
1,516,200,188,2680,6,1,6
1,502,193,186,2090,2,1,6
1,502,193,191,2090,5,1,6
1,502,202,191,2450,2,1,6
1,502,202,191,2590,1,1,6
1,502,202,191,2610,4,1,6
1,501,193,186,2010,5,1,6
1,499,202,188,2590,2,1,6
1,499,202,188,2560,4,1,6
1,498,202,191,2400,1,1,6
1,498,202,191,2450,1,1,6
1,498,202,195,2450,3,1,6
1,498,193,186,2010,3,1,6
1,498,202,191,2550,25,1,6
1,496,202,191,2400,2,1,6
1,496,202,191,2450,1,1,6
1,496,202,191,2550,1,1,6
1,496,202,191,2610,2,1,6
1,488,192,183,2370,2,1,6
1,488,192,185,2370,2,1,6
1,485,193,186,2010,1,1,6
1,484,193,186,2150,2,1,6
1,484,193,186,2010,6,1,6
1,480,189,176,1770,7,1,6
1,470,178,198,1660,1,1,6
1,467,192,184,1960,4,1,6

2,516,200,188,2680,23,1,5
2,502,193,191,2090,1,1,5
2,502,202,191,2450,22,1,5
2,502,202,191,2550,42,1,5
2,502,202,195,2610,3,1,5
2,501,193,186,2090,1,1,5
2,501,193,186,2010,9,1,5
2,501,202,188,2590,52,1,5
2,501,202,188,2560,1,1,5
2,532,178,199,2080,1,3,2
2,532,188,195,2150,1,3,2

3,527,178,199,2060,34,1,2
3,525,180,200,2200,1,1,2
3,524,180,200,2200,24,1,2
3,524,180,198,2280,13,1,2
3,516,200,188,2680,24,1,2
3,507,200,188,2680,3,1,2
3,502,193,186,2090,2,1,2
3,502,193,191,2090,3,1,2
3,501,193,186,2150,7,1,2
3,530,210,199,2440,1,3,2
3,530,210,199,2440,1,3,2
3,528,178,199,2080,1,3,2
3,528,180,197,2150,9,3,2
3,527,178,199,2060,1,3,2

4,532,178,199,2080,4,1,2
4,530,210,199,2440,4,1,2
4,530,210,199,2440,2,1,2
4,529,188,196,2200,1,1,2
4,528,178,199,2080,14,1,2
4,528,188,195,2080,1,1,2
4,528,188,196,2280,3,1,2
4,528,180,197,2150,14,1,2
4,527,178,199,2060,3,1,2
4,501,202,188,2560,2,1,5
4,498,193,186,2010,2,1,5
4,498,202,191,2550,12,1,5
4,496,202,191,2400,15,1,5
4,496,202,191,2450,19,1,5
4,496,202,191,2610,1,1,5
4,488,192,183,2370,3,1,5
4,480,189,176,1770,2,1,5
4,480,189,176,1720,4,1,5
4,470,178,198,1660,14,1,5
4,467,192,184,1960,4,1,5
