HOLD,HEIGHT,WIDTH,TALL,WEIGHT,AMOUNT,LP,DP
1,460,192,170,1590,25,1,2
1,460,192,170,1650,51,1,2
1,460,192,170,1640,78,1,2
1,458,182,150,1370,1,1,2

2,460,192,170,1640,50,1,2
2,458,182,150,1370,1,1,2
2,458,182,150,1440,6,1,2
2,457,193,186,1980,2,1,2
2,450,186,154,1540,96,1,2
2,450,186,156,1600,10,1,2
2,384,173,149,920,18,2,3

3,450,186,156,1600,25,1,2
3,384,173,149,920,91,2,3
3,348,165,172,1110,32,2,12
3,348,165,172,1110,30,2,12

4,450,186,156,1600,17,1,2
4,435,179,146,1410,1,1,2
4,424,178,132,1240,6,1,2
			
4,370,170,161,885,99,2,12
4,370,170,161,885,52,2,12
