HOLD,HEIGHT,WIDTH,TALL,WEIGHT,AMOUNT,LP,DP
1,482,182,149,1600,1,2,9
1,469,184,170,1540,162,2,9
1,442,179,166,1600,1,2,9

2,469,184,170,1540,45,2,9
2,442,179,167,1630,1,2,9
2,442,179,167,1600,1,2,9
2,500,185,140,1810,1,5,9
2,483,181,191,2170,1,5,9
2,483,179,192,2010,1,5,9
2,482,182,149,1770,1,5,9
2,462,169,196,1600,1,5,9
2,460,193,167,1672,30,5,9
2,460,193,169,1672,3,5,9
2,460,193,169,1598,54,5,9
2,460,193,169,1598,1,5,9
2,456,178,151,1550,1,5,9
2,456,178,153,1470,1,5,9
2,442,179,167,1630,1,5,9
2,442,179,166,1600,1,5,9
2,442,179,166,1620,1,5,9
2,433,184,161,1249,2,5,9
2,433,184,161,1249,28,5,9

3,433,184,161,1249,101,5,9
3,496,202,198,2580,2,6,5
3,484,193,186,2140,2,6,5
3,470,178,198,1780,19,6,5
3,460,192,170,1550,8,6,5

4,487,195,172,2295,1,4,10
4,433,184,161,1249,105,5,9
4,421,162,128,950,1,5,9
4,391,166,146,1210,1,5,9
4,460,193,169,1672,5,5,10
4,460,193,169,1598,8,5,10
4,449,178,137,1280,1,5,10
4,496,202,198,2580,5,6,5
4,484,193,191,2150,4,6,5
4,484,193,186,2140,7,6,5
