HOLD,HEIGHT,WIDTH,TALL,WEIGHT,AMOUNT,LP,DP
2,465,181,161,1500,1,1,14
2,465,182,147,1530,1,1,14
2,465,181,158,1500,2,1,14
2,464,187,166,1780,2,1,14
2,464,187,165,1780,3,1,14
2,460,192,170,1590,14,1,14
2,460,192,170,1650,1,1,14
2,460,192,170,1640,7,1,14
2,460,192,170,1450,8,1,14
2,460,192,170,1480,1,1,14
2,460,192,170,1590,5,1,14
2,460,192,170,1650,1,1,14
2,460,192,170,1640,11,1,14
2,460,192,170,1480,14,1,14
2,460,192,170,1650,16,1,14
2,460,192,170,1640,17,1,14

3,498,190,145,1680,4,1,14
3,498,190,145,1680,3,1,14
3,489,187,146,1590,2,1,14
3,489,187,146,1590,7,1,14
3,489,187,146,1590,6,1,14
3,489,192,170,2100,3,1,14
3,489,187,146,1590,5,1,14
3,489,192,170,2100,7,1,14
3,489,187,146,1590,6,1,14
3,489,192,170,2100,5,1,14
3,468,182,144,1620,1,1,14
3,465,181,158,1500,2,1,14
3,465,181,158,1500,9,1,14
3,465,181,161,1500,3,1,14
3,465,182,147,1530,2,1,14
3,464,187,166,1720,1,1,14
3,464,187,165,1780,1,1,14
3,464,187,166,1780,4,1,14
3,464,187,165,1780,2,1,14
3,464,187,166,1780,9,1,14
3,464,187,165,1780,2,1,14
3,464,187,166,1780,2,1,14
3,464,187,165,1750,1,1,14
3,460,192,170,1600,2,1,14
3,460,192,170,1590,1,1,14
