HOLD,HEIGHT,WIDTH,TALL,WEIGHT,AMOUNT,LP,DP
1,460,192,170,1590,38,1,7
1,460,192,170,1590,1,1,7
1,460,192,170,1650,19,1,7
1,460,192,170,1640,19,1,7
1,460,192,170,1450,1,1,7
1,458,182,150,1370,1,1,7
1,458,182,150,1370,2,1,7
1,458,182,150,1370,1,1,7
1,457,193,186,1990,1,1,7
1,450,184,154,1780,21,1,7
1,450,186,154,1540,11,1,7
1,450,186,154,1540,39,1,7
1,435,179,146,1410,4,1,7
1,435,179,146,1410,3,1,7
1,435,179,146,1410,1,1,7

2,500,192,170,2190,4,1,4
2,498,190,145,1680,16,1,4
2,460,192,170,1590,2,1,4
2,484,193,191,2150,1,1,5
2,470,178,198,1760,1,1,5
2,470,178,198,1830,6,1,5
2,460,192,170,1620,1,1,5
2,527,180,197,2140,69,1,6
2,527,210,199,2140,1,1,6
2,524,180,198,2280,22,1,6
2,501,193,191,2150,2,1,6
2,496,202,198,2620,3,1,6
2,479,180,198,2190,2,1,6
2,470,178,198,1830,2,1,6
2,470,178,198,1710,3,1,6
2,470,178,198,1790,11,1,6
2,460,192,170,1550,12,1,6
			
2,424,178,132,1220,2,1,7
2,424,178,132,1240,1,1,7

3,464,187,165,1780,40,1,4
3,464,187,166,1780,50,1,4
3,460,192,170,1610,25,1,4
3,460,192,170,1590,35,1,4
3,460,192,170,1660,3,1,4

4,489,187,146,1590,4,1,4
4,489,192,170,2100,22,1,4
4,484,193,189,2130,1,1,4
4,484,193,191,2130,2,1,4
4,477,197,135,1980,2,1,4
4,470,185,140,1730,4,1,4
4,468,182,144,1620,15,1,4
4,465,181,158,1500,54,1,4
4,465,182,147,1530,12,1,4
4,464,187,165,1780,12,1,4
