HOLD,HEIGHT,WIDTH,TALL,WEIGHT,AMOUNT,LP,DP
1,470,178,198,1840,6,1,1
1,370,170,161,885,59,2,3
1,348,165,172,1110,20,2,3

2,538,198,229,2030,2,1,1
2,538,198,229,2110,15,1,1
2,527,180,197,2050,1,1,1
2,525,180,198,2280,5,1,1
2,507,200,188,2680,2,1,1
2,502,202,191,2610,1,1,1
2,501,193,191,2090,1,1,1
2,501,193,186,2150,1,1,1
2,501,193,191,2010,2,1,1
2,496,202,195,2450,9,1,1
2,496,202,191,2580,1,1,1
2,496,202,194,2620,4,1,1
2,489,187,146,1480,2,1,1
2,470,178,198,1780,1,1,1
2,470,178,198,1840,28,1,1
2,470,178,198,1720,4,1,1
2,470,178,198,1840,14,1,1
2,384,173,149,920,3,2,3
2,370,170,161,885,37,2,3
2,348,165,172,1110,22,2,3

3,592,210,228,2640,52,1,1
3,538,198,229,2110,23,1,1
3,538,198,229,1900,8,1,1
3,538,198,229,2030,4,1,1
3,538,198,229,2110,25,1,1

4,592,210,228,2640,70,1,1
