HOLD,HEIGHT,WIDTH,TALL,WEIGHT,AMOUNT,LP,DP
1,484,192,190,2130,7,1,11
1,484,193,191,2130,4,1,11
1,457,192,188,1960,6,1,11
1,457,192,188,1990,2,1,11
2,498,190,145,1680,6,1,8
2,489,187,146,1590,1,1,8
2,515,200,192,2510,3,1,9
2,484,193,189,2130,3,1,9
2,484,193,191,2130,8,1,9
2,460,192,170,1480,20,1,9
2,460,192,170,1480,16,1,9
2,460,192,170,1570,6,1,9
2,460,192,170,1570,35,1,9
2,460,192,170,1520,1,1,9
2,450,186,154,1540,1,1,9
2,450,186,154,1460,17,1,9
2,450,186,154,1540,1,1,9
2,435,179,146,1410,18,1,9
2,424,178,132,1220,1,1,9
2,398,178,196,1930,1,1,9
2,457,193,186,1990,2,1,10

3,489,187,146,1590,12,1,8
3,484,192,185,2130,1,1,8
3,484,193,184,2130,1,1,8
3,484,193,186,2130,2,1,8
3,470,185,140,1730,2,1,8
3,468,182,144,1620,8,1,8
3,465,181,158,1500,13,1,8
3,465,181,161,1500,36,1,8
3,465,182,147,1530,4,1,8
3,460,192,170,1600,2,1,8
3,460,192,170,1590,43,1,8
3,450,186,154,1540,3,1,8
3,460,192,170,1590,2,1,8
3,460,192,170,1650,10,1,8
