ID,WIDTH,HEIGHT,AMOUNT,SEG,HOLD,LP,DP
0,19,46,125,1,1,5,11
1,19,46,24,1,1,5,11
2,17,45,1,1,1,5,11
3,17,45,1,1,1,5,11
4,17,45,1,1,1,5,11
5,17,44,1,1,1,5,11
6,18,43,181,1,2,5,11
7,16,39,1,1,2,5,11
8,16,39,1,1,2,5,11
9,19,52,1,1,2,6,4
10,20,51,1,1,2,6,4
11,20,51,3,1,2,6,4
12,19,46,4,1,2,6,5
13,19,46,1,1,2,6,5
14,18,43,92,2,3,5,11
15,18,43,28,2,3,5,11
16,17,43,1,2,3,5,11
17,17,43,1,2,3,5,11
18,17,43,1,2,3,5,11
19,17,42,1,2,3,5,11
20,18,42,1,2,3,5,11
21,18,42,1,2,3,5,11
22,18,42,1,2,3,5,11
23,17,42,1,2,3,5,11
24,17,42,1,2,3,5,11
25,17,42,1,2,3,5,11
26,17,40,1,2,3,5,11
27,17,40,1,2,3,5,11
28,17,40,1,2,3,5,11
29,16,39,1,2,3,5,11
30,16,39,1,2,3,5,11
31,16,39,1,2,3,5,11
32,16,39,1,2,3,5,11
33,16,39,1,2,3,5,11
34,16,39,1,2,3,5,11
35,16,39,1,2,3,5,11
36,16,39,1,2,3,5,11
37,16,39,1,2,3,5,11
38,19,53,5,2,3,6,5
39,19,46,3,2,3,6,5
40,17,44,1,2,4,5,11
41,17,44,1,2,4,5,11
42,17,44,1,2,4,5,11
43,17,44,1,2,4,5,11
44,17,44,1,2,4,5,11
45,17,44,1,2,4,5,11
46,17,44,1,2,4,5,11
47,17,44,1,2,4,5,11
48,17,44,1,2,4,5,11
49,17,44,1,2,4,5,11
50,17,44,1,2,4,5,11
51,17,44,1,2,4,5,11
52,17,44,1,2,4,5,11
53,17,44,1,2,4,5,11
54,17,44,1,2,4,5,11
55,17,44,1,2,4,5,11
56,17,44,1,2,4,5,11
57,17,44,1,2,4,5,11
58,17,44,1,2,4,5,11
59,17,44,1,2,4,5,11
60,17,44,1,2,4,5,11
61,17,44,1,2,4,5,11
62,17,44,1,2,4,5,11
63,17,44,1,2,4,5,11
64,17,44,1,2,4,5,11
65,17,44,1,2,4,5,11
66,17,44,1,2,4,5,11
67,17,44,1,2,4,5,11
68,17,44,1,2,4,5,11
69,17,44,1,2,4,5,11
70,17,44,1,2,4,5,11
71,17,44,1,2,4,5,11
72,17,44,1,2,4,5,11
73,17,44,1,2,4,5,11
74,17,44,1,2,4,5,11
75,17,44,1,2,4,5,11
76,17,44,1,2,4,5,11
77,17,44,1,2,4,5,11
78,17,44,1,2,4,5,11
79,17,44,1,2,4,5,11
80,17,44,1,2,4,5,11
81,17,44,1,2,4,5,11
82,17,44,1,2,4,5,11
83,16,44,1,2,4,5,11
84,16,44,1,2,4,5,11
85,17,44,1,2,4,5,11
86,16,43,1,2,4,5,11
87,16,43,1,2,4,5,11
88,16,43,1,2,4,5,11
89,17,43,1,2,4,5,11
90,18,43,9,2,4,5,11
91,18,43,86,2,4,5,11
