ID,WIDTH,HEIGHT,AMOUNT,SEG,HOLD,LP,DP
0,19,53,25,1,1,3,4
1,18,51,1,1,1,3,4
2,18,51,6,1,1,3,4
3,19,48,8,1,1,3,4
4,19,48,6,1,1,3,4
5,19,48,26,1,1,3,4
6,18,48,1,1,1,3,4
7,17,47,9,1,1,3,4
8,19,46,33,1,1,3,4
9,20,49,1,1,2,3,3
10,19,48,7,1,2,3,3
11,19,48,4,1,2,3,3
12,19,48,4,1,2,3,3
13,18,47,2,1,2,3,3
14,17,47,1,1,2,3,3
15,21,59,19,1,2,3,4
16,21,59,5,1,2,3,4
17,19,53,2,1,2,3,4
18,20,49,13,2,3,3,2
19,20,49,4,2,3,3,2
20,20,49,12,2,3,3,2
21,20,49,15,2,3,3,2
22,19,48,12,2,3,3,2
23,19,48,3,2,3,3,2
24,19,48,13,2,3,3,2
25,19,48,2,2,3,3,2
26,19,48,1,2,3,3,2
27,18,48,1,2,3,3,2
28,17,48,5,2,3,3,2
29,17,47,12,2,3,3,2
30,19,46,2,2,3,3,2
31,19,46,2,2,3,3,2
32,19,46,1,2,3,3,2
33,18,41,1,2,3,3,2
34,18,52,1,2,3,3,3
35,20,49,2,2,3,3,3
36,21,59,1,2,4,3,2
37,21,59,2,2,4,3,2
38,21,59,1,2,4,3,2
39,21,59,9,2,4,3,2
40,21,59,3,2,4,3,2
41,21,59,1,2,4,3,2
42,19,53,7,2,4,3,2
43,18,51,3,2,4,3,2
44,20,51,18,2,4,3,2
45,18,51,7,2,4,3,2
46,20,50,2,2,4,3,2
47,19,50,1,2,4,3,2
48,19,50,2,2,4,3,2
49,20,50,1,2,4,3,2
50,19,50,1,2,4,3,2
51,20,50,2,2,4,3,2
52,19,49,3,2,4,3,2
53,20,49,17,2,4,3,2
54,20,49,27,2,4,3,2
