ID,WIDTH,HEIGHT,AMOUNT,SEG,HOLD,LP,DP
0,19,46,1,1,1,1,9
1,19,46,11,1,1,1,9
2,19,46,1,1,1,1,9
3,19,46,2,1,1,1,9
4,19,46,4,1,1,1,9
5,19,46,11,1,1,1,9
6,19,46,5,1,1,1,9
7,19,46,11,1,1,1,9
8,19,46,16,1,1,1,9
9,19,46,4,1,1,1,9
10,19,46,15,1,1,1,9
11,19,46,6,1,1,1,9
12,19,46,34,1,1,1,9
13,19,46,4,1,1,1,9
14,19,46,24,1,1,1,9
15,19,48,1,1,2,1,9
16,18,48,1,1,2,1,9
17,19,48,1,1,2,1,9
18,18,46,3,1,2,1,9
19,18,46,2,1,2,1,9
20,18,46,6,1,2,1,9
21,18,46,2,1,2,1,9
22,18,46,25,1,2,1,9
23,18,46,4,1,2,1,9
24,18,46,2,1,2,1,9
25,18,46,5,1,2,1,9
26,18,46,8,1,2,1,9
27,19,46,8,1,2,1,9
28,19,46,4,1,2,1,9
29,19,46,1,1,2,1,9
30,19,46,10,1,2,1,9
31,19,46,17,1,2,1,9
32,19,46,5,1,2,1,9
33,19,46,30,1,2,1,9
34,19,46,1,1,2,1,9
35,19,46,6,1,2,1,9
36,19,46,3,1,2,1,9
37,19,46,18,1,2,1,9
38,19,46,3,1,2,1,9
39,19,46,5,1,2,1,9
40,19,46,7,1,2,1,9
41,19,50,2,2,3,1,9
42,19,49,5,2,3,1,9
43,19,49,16,2,3,1,9
44,19,49,2,2,3,1,9
45,19,49,1,2,3,1,9
46,18,48,18,2,3,1,9
47,19,48,2,2,3,1,9
48,18,48,41,2,3,1,9
49,18,48,6,2,3,1,9
50,19,48,5,2,3,1,9
51,19,48,1,2,3,1,9
52,18,46,3,2,3,1,9
53,19,46,19,2,3,1,10
54,19,46,1,2,3,1,10
55,19,46,2,2,3,1,10
56,19,46,2,2,3,1,10
57,18,45,1,2,3,1,10
58,18,48,1,2,4,1,7
59,18,48,2,2,4,1,7
60,18,48,7,2,4,1,8
61,19,52,1,2,4,1,10
62,18,46,1,2,4,1,10
63,19,46,15,2,4,1,10
64,19,46,4,2,4,1,10
65,19,49,7,2,4,1,11
66,18,48,13,2,4,1,11
67,19,48,1,2,4,1,11
68,18,46,2,2,4,1,11
69,18,46,2,2,4,1,11
70,18,46,2,2,4,1,11
71,18,46,1,2,4,1,11
72,18,46,1,2,4,1,11
73,19,46,73,2,4,1,11
74,19,46,2,2,4,1,11
75,19,46,2,2,4,1,11
76,19,46,1,2,4,1,11
77,18,45,1,2,4,1,11
78,17,43,1,2,4,1,11
