ID,WIDTH,HEIGHT,AMOUNT,SEG,HOLD,LP,DP
0,21,59,11,1,1,1,7
1,21,59,2,1,1,1,7
2,20,50,48,1,1,1,7
3,20,50,20,1,1,1,7
4,19,50,32,1,1,1,7
5,19,53,12,1,2,1,2
6,19,50,103,1,2,1,7
7,19,50,3,1,2,1,7
8,20,50,13,1,2,1,7
9,20,49,3,1,2,1,7
10,21,59,3,2,3,1,2
11,21,59,4,2,3,1,2
12,21,59,2,2,3,1,2
13,21,59,2,2,3,1,2
14,21,59,1,2,3,1,2
15,19,53,3,2,3,1,2
16,21,59,3,2,3,1,5
17,21,59,5,2,3,1,5
18,21,59,4,2,3,1,5
19,21,59,6,2,3,1,6
20,20,49,27,2,3,1,7
21,19,48,9,2,3,1,7
22,18,48,2,2,3,1,7
23,17,47,3,2,3,1,7
24,19,46,26,2,3,1,7
25,18,41,1,2,3,1,7
26,20,49,7,2,4,1,7
27,20,49,110,2,4,1,7
