ID,WIDTH,HEIGHT,AMOUNT,SEG,HOLD,LP,DP
0,19,46,53,1,1,1,4
1,19,46,86,1,1,1,4
2,18,45,9,1,1,1,4
3,18,45,1,1,1,1,4
4,18,45,7,1,1,1,4

5,19,49,6,1,2,1,2
6,19,48,7,1,2,1,2
7,19,48,2,1,2,1,2
8,19,47,1,1,2,1,2
9,18,47,1,1,2,1,2
10,18,46,10,1,2,1,2
11,18,46,2,1,2,1,2
12,18,46,1,1,2,1,2
13,18,46,29,1,2,1,2
14,18,46,4,1,2,1,2

15,18,45,98,1,2,1,4
16,18,45,3,1,2,1,4
17,19,44,2,1,2,1,4
18,17,43,11,1,2,1,4
19,17,42,2,1,2,1,4
20,17,42,1,1,2,1,4

21,18,46,45,2,3,1,2
22,19,46,8,2,3,1,2
23,19,46,77,2,3,1,2
24,19,46,17,2,4,1,2
25,20,51,2,2,4,1,13
26,20,50,1,2,4,1,13
27,20,50,1,2,4,1,13
28,20,49,8,2,4,1,13
29,20,49,2,2,4,1,13
30,20,49,1,2,4,1,13
31,20,49,7,2,4,1,13
32,20,49,3,2,4,1,13
33,19,48,2,2,4,1,13
34,19,48,16,2,4,1,13
35,19,48,2,2,4,1,13
36,19,48,27,2,4,1,13
37,19,48,1,2,4,1,13
38,19,48,8,2,4,1,13
39,19,48,2,2,4,1,14
40,19,48,11,2,4,1,14
41,19,48,6,2,4,1,14
42,19,48,1,2,4,1,14
43,19,48,1,2,4,1,14
