ID,WIDTH,HEIGHT,AMOUNT,SEG,HOLD,LP,DP
0,19,52,1,1,1,1,2
1,19,50,1,1,1,1,2
2,19,49,3,1,1,1,2
3,19,49,3,1,1,1,2
4,19,49,15,1,1,1,2
5,18,48,2,1,1,1,2
6,19,52,1,1,1,1,5
7,19,52,1,1,1,1,5
8,19,49,2,1,1,1,5
9,19,49,1,1,1,1,5
10,19,49,2,1,1,1,5
11,18,48,5,1,1,1,5
12,18,48,3,1,1,1,5
13,18,48,4,1,1,1,5
14,19,48,1,1,1,1,5
15,19,48,6,1,1,1,5
16,18,48,5,1,1,1,5
17,18,46,2,1,1,1,5
18,19,46,2,1,1,1,5
19,19,46,5,1,1,1,5
20,19,46,5,1,1,1,5
21,18,45,1,1,1,1,5
22,19,52,1,1,1,1,6
23,19,49,3,1,1,1,6
24,18,49,1,1,1,1,6
25,18,48,2,1,1,1,6
26,18,48,2,1,1,1,6
27,18,48,2,1,1,1,6
28,19,48,6,1,1,1,6
29,19,48,2,1,1,1,6
30,18,46,1,1,1,1,6
31,18,46,2,1,1,1,6
32,19,46,1,1,1,1,6
33,19,46,4,1,1,1,6
34,19,46,3,1,1,1,6
35,19,46,4,1,1,1,6
36,19,46,14,1,1,1,7
37,19,46,11,1,1,1,7
38,18,45,5,1,1,1,7
39,17,42,1,1,1,1,7
40,18,48,4,1,2,1,2
41,18,48,2,1,2,1,2
42,18,48,6,1,2,1,2
43,19,48,10,1,2,1,2
44,18,48,2,1,2,1,2
45,19,48,1,1,2,1,2
46,18,48,1,1,2,1,2
47,18,46,1,1,2,1,2
48,18,46,1,1,2,1,2
49,18,46,2,1,2,1,2
50,19,46,1,1,2,1,2
51,19,46,19,1,2,1,2
52,19,46,7,1,2,1,2
53,19,46,3,1,2,1,2
54,18,45,2,1,2,1,2
55,18,46,2,1,2,1,7
56,19,46,20,1,2,1,7
57,19,46,37,1,2,1,7
58,19,46,8,1,2,1,7
59,17,38,4,1,2,2,2
60,16,34,1,1,2,2,2
61,19,49,3,1,2,3,2
62,19,49,11,1,2,3,2
63,18,49,4,1,2,3,2
64,18,48,3,1,2,3,2
65,18,48,2,1,2,3,2
66,18,48,4,1,2,3,2
67,19,48,1,1,2,3,2
68,18,48,5,1,2,3,2
69,18,48,2,1,2,3,2
70,18,46,1,1,2,3,2
71,19,46,1,1,2,3,2
72,19,46,1,1,2,3,2
73,18,48,16,2,3,1,7
74,18,48,50,2,3,1,7
75,19,48,22,2,3,1,7
76,19,48,8,2,3,1,7
77,18,48,16,2,3,1,7
78,18,48,1,2,3,1,7
79,18,46,2,2,3,1,7
80,18,46,1,2,3,1,7
81,18,46,29,2,3,1,7
82,19,52,1,2,4,1,7
83,19,52,3,2,4,1,7
84,19,49,52,2,4,1,7
85,19,49,4,2,4,1,7
86,19,49,27,2,4,1,7
87,18,49,4,2,4,1,7
88,18,48,35,2,4,1,7
