ID,WIDTH,HEIGHT,AMOUNT,SEG,HOLD,LP,DP
0,18,48,1,1,1,2,9
1,18,46,162,1,1,2,9
2,17,44,1,1,1,2,9
3,18,46,45,1,2,2,9
4,17,44,1,1,2,2,9
5,17,44,1,1,2,2,9
6,18,50,1,1,2,5,9
7,18,48,1,1,2,5,9
8,17,48,1,1,2,5,9
9,18,48,1,1,2,5,9
10,16,46,1,1,2,5,9
11,19,46,30,1,2,5,9
12,19,46,3,1,2,5,9
13,19,46,54,1,2,5,9
14,19,46,1,1,2,5,9
15,17,45,1,1,2,5,9
16,17,45,1,1,2,5,9
17,17,44,1,1,2,5,9
18,17,44,1,1,2,5,9
19,17,44,1,1,2,5,9
20,18,43,2,1,2,5,9
21,18,43,28,1,2,5,9
22,18,43,101,2,3,5,9
23,20,49,2,2,3,6,5
24,19,48,2,2,3,6,5
25,17,47,19,2,3,6,5
26,19,46,8,2,3,6,5
27,19,48,1,2,4,4,10
28,18,43,105,2,4,5,9
29,16,42,1,2,4,5,9
30,16,39,1,2,4,5,9
31,19,46,5,2,4,5,10
32,19,46,8,2,4,5,10
33,17,44,1,2,4,5,10
34,20,49,5,2,4,6,5
35,19,48,4,2,4,6,5
36,19,48,7,2,4,6,5
