ID,WIDTH,HEIGHT,AMOUNT,SEG,HOLD,LP,DP
0,20,49,65,1,1,6,4
1,20,49,1,1,1,6,4
2,20,49,7,1,1,6,4
3,20,49,2,1,1,6,4
4,20,49,6,1,1,6,4
5,20,49,5,1,1,6,4
6,20,49,9,1,1,6,4
7,19,48,14,1,1,6,4
8,18,48,21,1,1,6,4
9,18,48,44,1,2,6,4
10,18,48,3,1,2,6,4
11,18,48,2,1,2,6,4
12,19,48,35,1,2,6,4
13,19,48,4,1,2,6,4
14,19,48,1,1,2,6,4
15,19,48,3,1,2,6,4
16,19,48,2,1,2,6,4
17,19,48,1,1,2,6,4
18,19,48,2,1,2,6,4
19,19,48,4,1,2,6,4
20,19,48,17,1,2,6,4
21,19,48,1,1,2,6,4
22,19,48,1,1,2,6,4
23,18,46,3,1,2,6,4
24,18,46,1,1,2,6,4
25,18,46,18,1,2,6,4
26,18,46,12,1,2,6,4
27,19,48,17,2,3,6,4
28,19,48,3,2,3,6,4
29,19,48,10,2,3,6,4
30,19,48,94,2,3,6,4
31,18,46,2,2,3,6,4
32,18,46,2,2,3,6,4
33,18,46,4,2,3,6,4
34,20,50,4,2,4,6,4
35,20,50,10,2,4,6,4
36,20,50,8,2,4,6,4
37,20,49,4,2,4,6,4
38,20,49,27,2,4,6,4
39,20,49,36,2,4,6,4
40,19,49,5,2,4,6,4
41,19,49,1,2,4,6,4
42,19,49,1,2,4,6,4
43,20,49,18,2,4,6,4
