ID,WIDTH,HEIGHT,AMOUNT,SEG,HOLD,LP,DP
0.0,22.0,71.0,20.0,1.0,1.0,1.0,1.0
1.0,20.0,71.0,2.0,1.0,1.0,1.0,5.0
2.0,19.0,53.0,4.0,1.0,1.0,1.0,5.0
3.0,20.0,71.0,1.0,1.0,1.0,1.0,6.0
4.0,22.0,64.0,2.0,1.0,1.0,1.0,6.0
5.0,22.0,64.0,2.0,1.0,1.0,1.0,6.0
6.0,19.0,53.0,2.0,1.0,1.0,1.0,6.0
7.0,19.0,53.0,3.0,1.0,1.0,1.0,6.0
8.0,21.0,59.0,76.0,1.0,2.0,1.0,1.0
9.0,17.0,37.0,24.1,1.0,2.0,6.0,
10.0,16.0,34.0,5.0,1.0,2.0,1.0,6.0
11.0,22.0,71.0,7.0,2.0,3.0,1.0,1.0
12.0,22.0,71.0,6.0,2.0,3.0,1.0,1.0
13.0,22.0,71.0,9.0,2.0,3.0,1.0,1.0
14.0,21.0,59.0,40.0,2.0,3.0,1.0,1.0
15.0,17.0,37.0,38.0,2.0,3.0,2.0,3.0
16.0,21.0,59.0,35.0,2.0,4.0,1.0,1.0
